Reasons for order stuck,Classification of problems
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Data issues 
The list has been returned. ,Reasons for the group system 
Provincial resource logic ,Reasons for the provincial system 
Mandatory order ,Data issues 
It has stopped. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Data issues 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
"Test environmental data problems, unable to allocate data ",Data issues 
"Because the group CRM did not support the scene where the patch was stopped at that time, the waste order has been stopped.",Data issues 
Test environment manual order ,Data issues 
"The shutdown scenario test has been completed, and the order has been scrapped. ",Data issues 
Test environment manual order ,Data issues 
Resource data in preparation for testing ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"There is no abnormality, and the list has been archived. ",Data issues 
"There is no abnormality, and the list has been archived. ",Data issues 
"The shutdown scenario test has been completed, and the order has been scrapped. ",Data issues 
"The shutdown scenario test has been completed, and the order has been scrapped. ",Data issues 
The test list is invalid. ,Data issues 
"The shutdown scenario test has been completed, and the order has been scrapped. ",Data issues 
"Provincial arrangement problem, the list has been archived at present. ",Reasons for the provincial system 
Program issues ,Reasons for the group system 
"Provincial resource callback relay production has not been completed, and does not meet the test conditions Kunming/Xiyuan-Xiyuan ",Reasons for the provincial system 
"At present, there is no abnormality, and the order for the suspension link has passed. ",Data issues 
Parameter error: single-end circuit does not exist ,To be determined (other reasons) (write notes) 
Parameter error: single-end circuit does not exist ,To be determined (other reasons) (write notes) 
The receipt has been returned ,Reasons for the group system 
Did not receive the call of the fixed network dedicated line CFS_resource configuration_api ,Collaborative dependence 
"Test environmental data problems, unable to allocate data ",Data issues 
The preliminary arrangement of test environment problems has passed this link.,Reasons for the provincial system 
The preliminary arrangement of test environment problems has passed this link.,Reasons for the provincial system 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Waiting for the provincial resource archiving callback ,Reasons for the provincial system 
The test list is invalid. ,Data issues 
Test system data problems ,Reasons for the provincial system 
Test system data problems ,Reasons for the provincial system 
Test system data problems ,Reasons for the provincial system 
Test system data problems ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Test waste order ,Data issues 
Mandatory order ,Data issues 
The test list is invalid. ,Data issues 
The bandwidth of the single-ended circuit of the VPN circuit exceeds the limit. ,Data issues 
Waiting for provincial resource rollback ,Reasons for the provincial system 
Program issues ,Reasons for the design center plan 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Data issues 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"The shutdown scenario test has been completed, and the order has been scrapped. ",Data issues 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
"The shutdown scenario test has been completed, and the order has been scrapped. ",Data issues 
"The shutdown scenario test has been completed, and the order has been scrapped. ",Data issues 
": The three-layer VPN of the metropolitan area network is connected to RFS_install_api, no return order",Reasons for the provincial system 
": The three-layer VPN of the metropolitan area network is connected to RFS_install_api, no return order",Reasons for the provincial system 
": IPRAN PW access to RFS_install_api, no receipt ",Reasons for the provincial system 
"Dependency problem, provincial arrangement dependency abnormality ",Collaborative dependence 
"Test environmental data problems, unable to allocate data ",Data issues 
"The provincial resource network ASBR resource configuration return message is empty, waiting for a new return. ",Reasons for the provincial system 
"Dependency problem, provincial arrangement dependency abnormality ",Collaborative dependence 
The test list is invalid. ,Data issues 
Other reasons (void) ,Data issues 
Provincial resource OTN resource configuration order allocation of VLAN repeats with other circuits ,Reasons for the provincial system 
Stop the bill and wait for the provincial resource rollback. ,Reasons for the provincial system 
Other reasons (void) ,Data issues 
The VPN circuit does not exist. ,Reasons for the group system 
OTMS is not eligible. ,Data issues 
"At present, the relay of the non-standard service provincial resource allocation is currently a new plane relay, and no link role field is returned. ",Reasons for the provincial system 
Waiting for the provincial resource archiving callback ,Reasons for the provincial system 
: OTN Ethernet Link RFS_Resource Configuration_api No Return,Reasons for the provincial system 
Other reasons (void) ,Data issues 
Other reasons (void) ,Data issues 
Other reasons (void) ,Data issues 
"MTU changes the order time, and places an order in demand research and development. ",To be determined (other reasons) (write notes) 
Other reasons (void) ,Data issues 
The test list is invalid. ,Data issues 
Waiting for the reply of provincial resource allocation ,Reasons for the provincial system 
: OTN Ethernet Link RFS_Resource Configuration_api No Return,Reasons for the provincial system 
: OTN Ethernet Link RFS_Resource Configuration_api No Return,Reasons for the provincial system 
"Provincial resource callback relay production has not been completed online, and does not meet the test conditions Kunming/Xiyuan-Xiyuan/ ",Reasons for the provincial system 
Stop and try again. ,Reasons for the group system 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
Other reasons (void) ,Data issues 
"Accept the problem, the test environment does not have the installation address. ",Data issues 
"Accept the problem, the test environment does not have the installation address. ",Data issues 
Test environment manual order ,Data issues 
OTMS is not eligible. ,Data issues 
OTMS is not eligible. ,Data issues 
OTMS is not eligible. ,Data issues 
Feedback errors in the province. The customer order ID is empty. ,Reasons for the provincial system 
The return time of provincial resources is that the order has been passed at present. ,Reasons for the provincial system 
"MTU test sheet, in the middle of the test ",Data issues 
Waiting for the reply of provincial resource allocation ,Reasons for the provincial system 
OTMS is not eligible. ,Data issues 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
Provincial resource network ASBR resource configuration rollback interface synchronous response is empty ,Reasons for the provincial system 
The receipt has been returned ,Reasons for the provincial system 
Rolled back ,Reasons for the provincial system 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
This business is a test shutdown scenario. The cancellation has been completed and does not belong to the card list.,Data issues 
This business is a test shutdown scenario. The cancellation has been completed and does not belong to the card list.,Data issues 
The MTU change value of the research institute's arrangement package has not been added. ,Reasons for the group system 
The MTU change value of the research institute's arrangement package has not been added. ,Reasons for the group system 
Normal test transfer ,Data issues 
Normal test transfer ,Data issues 
OTMS is not eligible. ,Data issues 
"After the new link is re-sent, the original link is not automatically invalidated. Please arrange the group to assist in invalidating it. ",Reasons for the provincial system 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
Waiting for the reply of provincial resource allocation ,Reasons for the provincial system 
Waiting for the reply of provincial resource allocation ,Reasons for the provincial system 
The abnormal flow of processes in the province has been solved. ,Reasons for the provincial system 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
This business is a test shutdown scenario. The cancellation has been completed and does not belong to the card list.,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"For data problems, provincial resources cannot be allocated, and other test orders have been accepted. ",Reasons for the provincial system 
Normal test transfer ,Data issues 
The test stopped. ,Data issues 
The test stopped. ,Data issues 
The MTU change value of the research institute's arrangement package has not been added. ,Reasons for the group system 
The MTU change value of the research institute's arrangement package has not been added. ,Reasons for the group system 
"Provincial resources reply that the address has no resources configured, and now it needs to be stopped. ",Collaborative dependence 
"Provincial resources reply that the address has no resources configured, and now it needs to be stopped. ",Collaborative dependence 
: OTN Ethernet Link RFS_Resource Configuration_api No Return,Reasons for the provincial system 
Resource data in preparation for testing ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Resource data in preparation for testing ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Collaborative dependence 
: IPRAN PW access RFS_install_api no receipt ,Reasons for the provincial system 
Waiting for the provincial resource allocation back ,Reasons for the provincial system 
Group process line error ,Reasons for the provincial system 
"The provincial resources have not been returned, and the order has been suspended at present. ",Reasons for the provincial system 
"The provincial resources have not returned the order. At present, the order has been suspended. At present, the provincial resource rollback interface synchronously reports the error, waiting for the rollback callback. ",Reasons for the provincial system 
OTMS is not eligible. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Log in to the group arrangement system to see the requestid in the request header and query the record in the provincial EOP. ,To be determined (other reasons) (write notes) 
Log in to the group arrangement system to see the requestid in the request header and query the record in the provincial EOP. ,To be determined (other reasons) (write notes) 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
: IPRAN PW access RFS_install_api no receipt ,Reasons for the provincial system 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
"Provincial resource callback message error, the circuit information cannot be found according to the circuit code. ",Reasons for the provincial system 
"MTU test arrangement package error, checking the reason ",Reasons for the provincial system 
The circuit information cannot be found according to the circuit code. ,Reasons for the provincial system 
The normal return exceeds the timeout of the business party's configuration. ,Data issues 
OTMS is not eligible. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
Other reasons (void) ,Data issues 
Other reasons (void) ,Data issues 
"The provincial resource network ASBR resource configuration callback relay cannot be found. At present, the provincial resource network ASBR resource rollback interface synchronous response is empty. ",Reasons for the provincial system 
Log in to the group arrangement system to see the requestid in the request header and query the record in the provincial EOP. ,To be determined (other reasons) (write notes) 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test order has been stopped and has been withdrawn. ,Reasons for the provincial system 
The test order has been stopped and has been withdrawn. ,Reasons for the provincial system 
Log in to the group arrangement system to see the requestid in the request header and query the record in the provincial EOP. ,To be determined (other reasons) (write notes) 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The test order has been stopped and has been withdrawn. ,Reasons for the provincial system 
"Card group arrangement, group arrangement feedback group resources and provincial control value strategy do not match, the research institute replied that provincial resources need to return the new and old two groups of dynamic pseudo-line information, which is expected to be developed after September. ",Reasons for the provincial system 
: IPRAN PW access RFS_install_api no receipt ,Reasons for the provincial system 
The test order has been stopped and has been withdrawn. ,Reasons for the provincial system 
: IPRAN PW access to RFS_change_api no return order ,Reasons for the provincial system 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
"It has been reported, and the time has been completed. ",Reasons for the provincial system 
"It has been reported, and the time has been completed. ",Reasons for the provincial system 
OTMS is not eligible. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The acceptance of test orders in the province will be stopped. ,Data issues 
The list has been stopped and there is no abnormality. ,Data issues 
What is the specific problem of MTU rules? ,Reasons for the group system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
The test environment controller can't be verified. It's better to find a group arrangement. ,Data issues 
"MTU test order, ZTE equipment failed under provincial control, in the middle of adjustment ",Reasons for the provincial system 
"MTU test sheet, in the middle of the test ",Reasons for the provincial system 
OTMS is not eligible. ,Data issues 
Log in to the group arrangement system to see the requestid in the request header and query the record in the provincial EOP. ,To be determined (other reasons) (write notes) 
"After the function test of the provincial arrangement version, the provincial arrangement has been solved. ",Reasons for the provincial system 
OTMS is not eligible. ,Data issues 
The order has been completed. ,Reasons for the provincial system 
It has stopped. ,Data issues 
"The test environment has not started the process, please arrange the group to cancel the order directly for this link. The process has not started in the province. ",Reasons for the provincial system 
"The test environment in the province has been switched, and the interface address has changed. ",Reasons for the provincial system 
"After the new link is re-sent, the original link is not automatically invalidated. Please arrange the group to assist in invalidating it. ",Data issues 
The test sheet is invalid. ,Data issues 
It has stopped. ,Data issues 
"The provincial resource interface reports errors synchronously, and wait for the provincial resource reply after re-adjustment. ",Reasons for the provincial system 
: IPRAN PW access to RFS_change_api no return order ,Reasons for the provincial system 
The relay of the provincial resource callback configuration of the new service circuit is the old plane relay. ,Reasons for the provincial system 
The group looked at the provincial Zhongying's unreturned order. ,Reasons for the provincial system 
Provincial comprehensive adjustment card list ,Reasons for the provincial system 
"The order has been returned in the province. At present, the group's arrangement has not generated a follow-up link. ",Reasons for the provincial system 
: RES_IP_MANASBR_MPLS_L3VPN_CONFIGURATION NEW_API NO REPLY ,Reasons for the provincial system 
The abnormal flow of processes in the province has been solved. ,Reasons for the provincial system 
The abnormal flow of processes in the province has been solved. ,Reasons for the provincial system 
OTMS is not eligible. ,Data issues 
Provincial resource rollback interface synchronous error reporting ,Reasons for the provincial system 
"The test environment has not started the process, please arrange the group to cancel the order directly for this link. The process has not started in the province. ",Reasons for the provincial system 
Provincial resource archiving interface synchronous error reporting ,Reasons for the provincial system 
Parameter error: single-terminal circuit does not exist ,Data issues 
Parameter error: single-terminal circuit does not exist ,Data issues 
The abnormal flow of processes in the province has been solved. ,Data issues 
The problem of provincial control is located in the middle. ,To be determined (other reasons) (write notes) 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The receipt has been returned ,To be determined (other reasons) (write notes) 
"IPRAN PW access to RFS_install_api, card in the province, no receipt",Reasons for the provincial system 
"IPRAN PW access to RFS_install_api, card in the province, no receipt",Reasons for the provincial system 
"After the function test of the provincial arrangement version, the provincial arrangement has been solved. ",Reasons for the provincial system 
Provincial resource interface synchronous error reporting ,Reasons for the provincial system 
Normal test ticket ,To be determined (other reasons) (write notes) 
The normal test work order has been completed. ,To be determined (other reasons) (write notes) 
OTMS does not have a test environment ,Data issues 
The data is not fully matched. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Collaborative dependence 
Completed ,Data issues 
The test sheet is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The feedback parameter value of Ethernet link resource configuration is incorrect. ,Data issues 
Parameter error: VPN circuit does not exist ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
There is no receipt for the network element link. ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
There is no receipt for the provincial resource allocation. ,Reasons for the provincial system 
The cancellation is completed. ,Data issues 
There is no receipt in the province for the resource archiving link.,Data issues 
There is no reply in the logical resource allocation. ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
There is no receipt for the provincial resource allocation. ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
There is no reply in the logical resource allocation. ,Reasons for the provincial system 
There is no receipt for the provincial resource allocation. ,Reasons for the provincial system 
In the test ,Data issues 
Provincial network management resource allocation and allocation ,Data issues 
The historical data of 5G access single is currently archived. ,Reasons for the group system 
"At present, it is in the rollback process, waiting for the provincial resources to roll back. The receipt has been returned ",Reasons for the provincial system 
The process flow in the province is abnormal and is being processed. ,Reasons for the provincial system 
The process flow in the province is abnormal and is being processed. ,Reasons for the provincial system 
The new installation order cannot be changed if it is not archived. ,Data issues 
"The dispatch is missing jobid, and the order has been passed after msgid re-adjustment. ",Reasons for the group system 
The new installation order cannot be changed if it is not archived. ,Data issues 
The new installation order cannot be changed if it is not archived. ,Data issues 
The new installation order cannot be changed if it is not archived. ,Data issues 
The new installation order cannot be changed if it is not archived. ,Data issues 
"This product service has other states under the instance number of this product (it has been dismantled and modified), and cannot be dismantled or modified repeatedly. ",Data issues 
The new installation order cannot be changed if it is not archived. ,Data issues 
The new installation order cannot be changed if it is not archived. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Parameter error: The selected carrier relay circuit does not match peName ,Reasons for the provincial system 
Waiting for the provincial resource return ,Reasons for the provincial system 
Waiting for the provincial resource return ,Reasons for the provincial system 
"At present, the list is not in this link, and the group resource link has only received the callback of CFS service design rollback and has been completed. ",Collaborative dependence 
Waiting for the provincial resource return ,Reasons for the provincial system 
Waiting for the provincial resource return ,Reasons for the provincial system 
Waiting for the provincial resource return ,Reasons for the provincial system 
Waiting for provincial resource rollback ,Reasons for the provincial system 
"At that time, the environment in the province was restarted. The group was successfully rearranged. The order has been cancelled. ",Reasons for the provincial system 
"This product service has other states under the instance number of this product (it has been dismantled and modified), and cannot be dismantled or modified repeatedly. ",Data issues 
Waiting for provincial resource rollback ,Reasons for the provincial system 
Wait for the order test to stop. ,Reasons for the provincial system 
Stop open ,Data issues 
"This product service has other states under the instance number of this product (it has been dismantled and modified), and cannot be dismantled or modified repeatedly. ",Data issues 
The problem of placing an order in the province ,Data issues 
"RES_STN_SERVICE_PWACCESS_Instalation' link has not been returned. Looking at the provincial Zhongying, the provincial resources have not returned. ",Reasons for the provincial system 
Waiting for the resource allocation of resource dispatchers in the province,Reasons for the provincial system 
The mobile machine work order has been completed. ,Data issues 
There is no reply in the logical resource allocation. ,Reasons for the provincial system 
"The provincial resource return time is relatively late, and the current list has been archived. ",Reasons for the provincial system 
There is no receipt for the network element link. ,Reasons for the provincial system 
Provincial resource rollback callback message is empty ,Reasons for the provincial system 
There is no reply in the logical resource allocation. ,Reasons for the provincial system 
There is no reply in the logical resource allocation. ,Reasons for the provincial system 
"The provincial procurement control is missing, and provincial resources are needed for redevelopment. ",Reasons for the provincial system 
VPN configuration execution failed ,Reasons for the provincial system 
The mobile machine work order has been completed. ,Data issues 
Errors reported in provincial test resources ,Data issues 
Errors reported in provincial test resources ,Data issues 
Adjustment of provincial procedures ,Data issues 
Provincial resource network ASBR resource allocation has not been returned ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Provincial resource network ASBR resource allocation has not been returned ,Other reasons (void/other)
"In the test environment, the initial message issued by the group lacks nodes: prodResources, reissue is normal; provincial arrangement has successfully distributed provincial resources, but the provincial resource reply needs to be reissued after the previous VLAN withdrawal. ",Reasons for the design center plan 
Provincial arrangement without reply ,Reasons for the provincial system 
Provincial arrangement without reply ,Reasons for the provincial system 
Provincial arrangement without reply ,Reasons for the provincial system 
"Provincial resources, the address is not associated with U and A devices. ",Other reasons (void/other)
"PON migration process, the whole process of testing before disassembly, looking for a design center, need to add this link to the group design center and group choreography for follow-up testing. It has been invalidated ",Reasons for the design center plan 
"It was sent when the machine was moved and disassembled. When the machine was moved and installed, the delivery was wrong. ",Reasons for the design center plan 
"It was sent when the machine was moved and disassembled. When the machine was moved and installed, the delivery was wrong. ",Reasons for the design center plan 
Provincial resource configuration relay name error ,Reasons for the provincial system 
OTMS has no test environment and is forced to pass the order. ,Other reasons (void/other)
"The originally allocated relay port is occupied, and the available port of the link is to be redistributed. ",Reasons for the provincial system 
Provincial resource OTN convergence equipment callback relay link is empty ,Other reasons (void/other)
The link information is not queried according to the link name. ,Other reasons (void/other)
No data was obtained according to the name of the input link. ,Other reasons (void/other)
Provincial resource process problems make it impossible to circulate and need to be stopped. ,Reasons for the group system 
Provincial resource process problems make it impossible to circulate and need to be stopped. ,Reasons for the group system 
Operation problems in the province Repeated orders due to an unfinished work order ,Other reasons (void/other)
/New archway-New archway/relay can't be found ,Other reasons (void/other)
And other provincial resources OTN aggregation equipment resource allocation return ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group arrangement and re-adjustment has passed the order. ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's arrangement and re-adjustment has been sent to provincial resources. Provincial resources 3A circuit callback relay and opposite-end circuit are repeated.,Reasons for the provincial system 
Provincial arrangement without reply ,Reasons for the provincial system 
The problem of network configuration strategy has been fed back to the cloud effect. ,Reasons for the design center plan 
The problem of network configuration strategy has been fed back to the cloud effect. ,Reasons for the design center plan 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted, and the order has been replied. ",Collaborative dependence 
"No resource construction and mining process test list, there is a problem with the process in the province, invalid ",Other reasons (void/other)
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Other reasons (void/other)
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Other reasons (void/other)
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Other reasons (void/other)
OTMS has no test environment and is forced to pass the order. ,Other reasons (void/other)
Provincial resource allocation VLAN is duplicated with other in-way orders. ,Reasons for the provincial system 
Misoperation in the province ,Other reasons (void/other)
Please ask the design center to check whether the process is correct. ,Other reasons (void/other)
It has stopped. ,Reasons for the provincial system 
OTMS has no test environment and is forced to pass the order. ,Other reasons (void/other)
Research institute program problems ,Reasons for the design center plan 
The address is wrong and has been stopped.,Other reasons (void/other)
"SDN_CN2PE_OTN-CN2 three-layer VPN access_installation_device configuration_link reverse card list, waste order, group arrangement has adjusted the shutdown process ",Reasons for the design center plan 
OTMS has no test environment and is forced to pass the order. ,Other reasons (void/other)
Group orchestration interface problems ,Reasons for the group system 
"RES_IP_CN2PE_MPLS_L3VPN_configuration new_link, waste order, to be adjusted and developed by the group ",Reasons for the group system 
OTMS has no test environment and is forced to pass the order. ,Other reasons (void/other)
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's arrangement problem has been dealt with and re-adjusted. It has been issued to the province, and the name of the provincial resource return order does not exist. ",Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
OTMS has no test environment and is forced to pass the order. ,Other reasons (void/other)
OTMS has no test environment and is forced to pass the order. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Waiting for the provincial resource archiving callback ,Other reasons (void/other)
"At that time, 5G access had not been started, and the order could not be opened through PSR; the order problem ",To be determined (other reasons) (write notes) 
Caused by the misoperation of the re-dissiption button in the province ,Other reasons (void/other)
Wait for the provincial resource network ASBR equipment resource allocation return ,Other reasons (void/other)
Caused by the misoperation of the re-dissiption button in the province ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's choreography problem is re-adjusted and sent to provincial resources. The abnormal asynchronous callback of provincial resources cannot find the circuit information according to the circuit code. ,Other reasons (void/other)
The problem of placing an order ,To be determined (other reasons) (write notes) 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Other reasons (void/other)
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Other reasons (void/other)
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Test list for January ,To be determined (other reasons) (write notes) 
Test list for January ,To be determined (other reasons) (write notes) 
Test list for January ,To be determined (other reasons) (write notes) 
"The order is the previous test order, which is no longer needed and can be discarded. ",Other reasons (void/other)
Provincial arrangement of unanalyzed processes and waste orders ,Reasons for the provincial system 
"CFS cloud private network product_installation_service design_link abnormal professional labor, service_id violates the limit of not empty ",Reasons for the provincial system 
IPRAN PW access to RFS_installation_on-site construction_link (on-site construction) waiting for the group to release dependence and wait ,Other reasons (void/other)
The resource allocation card has not been processed manually. ,Reasons for the provincial system 
"The CRM interface was not adjusted, and it was not successful until it was re-adjusted. ",Reasons for the group system 
"The group's choreography process was wrong, and the rate change was directly archived. ",Other reasons (void/other)
Local network group CRM has not been imported into CE_COUNTRY district and county field ,Other reasons (void/other)
The group resource RFS test data has been deleted and the process cannot be archived. ,Reasons for the group system 
Repeat the order,Reasons for the group system 
The local network could not open business at that time. ,To be determined (other reasons) (write notes) 
As a result of server restart ,Reasons for the provincial system 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
Provincial resource data issues ,Reasons for the provincial system 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
The reason has not been identified for a long time.,To be determined (other reasons) (write notes) 
Waste order ,Other reasons (void/other)
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
And other provincial resources OTN aggregation equipment resource allocation return ,Reasons for the provincial system 
And other provincial resources OTN aggregation equipment resource allocation return ,Reasons for the provincial system 
OTMS has no test environment and is forced to pass the order. ,Other reasons (void/other)
"OTN Ethernet link RFS_resource configuration_link, return exception, request message format verification exception ",Reasons for the provincial system 
OTN Ethernet link RFS_on-site construction_api no reply ,Reasons for the provincial system 
Waste order ,Other reasons (void/other)
The provincial resource callback interface is empty. ,Reasons for the provincial system 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
The group's long-distance resource interface has not been called back and responded. Just re-adjust it. ,Reasons for the group system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem will be re-adjusted and sent to the provincial resources, waiting for the provincial resource return. ",Reasons for the provincial system 
"The two-way verification interface of the group's resources is reported to 400, which affects the interconnection IP verification, and can be re-adjusted in the province. ",Reasons for the group system 
You can't issue a business if you place an order on the local network. ,To be determined (other reasons) (write notes) 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted and has been sent to the provincial resources, waiting for the provincial resources to be returned. ",Other reasons (void/other)
Local network arrangement has not been transmitted to CE_COUNTRY district and county fields ,Reasons for the group system 
